id,rut,ocupacion
319,80353279-6,jefe
320,29622397-2,empleado
321,78897889-8,jefe
322,58846331-1,empleado
323,71652443-4,empleado
324,90243628-6,empleado
325,84081575-7,empleado
326,14114400-6,empleado
327,83905334-7,empleado
328,89146700-1,empleado
329,29622980-6,empleado
330,20168747-0,empleado
331,38725184-7,empleado
332,28450511-5,jefe
333,81018273-3,empleado
334,10742402-4,jefe
335,85384785-2,jefe
336,30001031-8,empleado
337,48246125-5,jefe
338,48986292-1,jefe
339,93892863-0,jefe
340,52179815-7,empleado
341,19706256-8,jefe
342,26196183-0,empleado
343,11271286-0,empleado
344,48998776-7,empleado
345,95521769-1,empleado
346,55972471-8,empleado
347,95487734-5,empleado
348,63814706-8,empleado
349,43597800-2,jefe
350,95403427-5,empleado
351,56914123-0,jefe
352,95623149-3,empleado
353,37126798-0,empleado
354,92270331-0,jefe
355,46288331-5,empleado
356,90505307-8,empleado
357,95810168-6,jefe
358,94006732-4,empleado
359,61336127-8,empleado
360,32142510-0,jefe
361,21188032-5,jefe
362,64660903-8,empleado
363,17677635-8,jefe
364,21332506-k,jefe
365,36615636-4,empleado
366,30741496-1,empleado
367,18970874-2,empleado
368,33491402-k,jefe
369,47342099-6,empleado
370,73815426-6,empleado
371,19528671-k,empleado
372,51844875-7,jefe
373,17327495-5,jefe
374,82719046-2,jefe
375,79873843-7,empleado
376,66227912-9,jefe
377,44715611-3,empleado
378,71134226-5,empleado
379,89260929-2,empleado
380,72620651-1,empleado
381,33908685-0,empleado
382,94221380-8,empleado
383,15823641-9,empleado
384,39790970-0,empleado
385,14736236-6,empleado
386,17195049-k,jefe
387,67710168-7,empleado
388,21201270-k,jefe
389,16833235-1,jefe
390,32273167-1,empleado
391,90922919-7,jefe
392,60028335-9,empleado
393,52968708-7,empleado
394,57689116-4,jefe
395,10094201-1,jefe
396,85779616-0,jefe
397,15683276-6,empleado
398,14825989-5,empleado
399,65207641-6,jefe
400,34761062-3,jefe
401,93600353-2,empleado
402,61627352-3,jefe
403,33917878-k,jefe
404,81311438-0,empleado
405,16506263-9,jefe
406,48849361-2,empleado
407,23684561-3,empleado
408,12842111-4,jefe
409,46524982-k,jefe
410,54556015-1,empleado
411,22240154-2,jefe
412,72478850-5,jefe
413,25107105-5,jefe
414,69768825-0,jefe
415,42644643-k,jefe
416,54004386-8,empleado
417,55514185-8,jefe
418,34762796-8,empleado
419,55422937-9,empleado
420,11636170-1,jefe
421,45453849-8,empleado
422,84539370-2,empleado
423,96900689-8,jefe
424,44281327-2,jefe
425,74580276-1,empleado
426,78160098-9,empleado
427,65346159-3,jefe
428,72800848-2,jefe
429,79757833-9,jefe
430,79459402-3,jefe
431,80921370-6,empleado
432,90172937-9,empleado
433,47942200-1,jefe
434,42538060-5,empleado
435,70582800-8,jefe
436,14982281-k,empleado
437,90155266-5,jefe
438,96951878-3,jefe
439,72159761-k,jefe
440,72430402-8,jefe
441,66045545-0,jefe
442,91231636-k,jefe
443,86516801-2,jefe
444,64750606-2,jefe
445,90966759-3,jefe
446,31111145-0,jefe
447,16792411-5,jefe
448,58765828-3,empleado
449,42216276-3,jefe
450,91844038-0,jefe
451,43926456-k,jefe
452,13965853-1,empleado
453,14343597-0,empleado
454,41966463-4,jefe
455,21219682-7,jefe
456,95541523-k,jefe
457,68208732-3,jefe
458,43831962-k,jefe
459,22234852-8,jefe
460,39089742-1,jefe
461,92696219-1,jefe
462,69568679-k,jefe
463,91935122-5,jefe
464,68133700-8,jefe
465,42938886-4,jefe
466,11439340-1,jefe
467,39899583-k,jefe
468,39949282-3,jefe
469,53644614-1,jefe
470,19552470-k,jefe
